college,collegeLabel,city,coordinate_location,country,countryLabel,
http://www.wikidata.org/entity/Q65953936,Water Reservoir of Jam,,Point(64.517 34.402),http://www.wikidata.org/entity/Q889,Afghanistan,af
http://www.wikidata.org/entity/Q7266821,Qargha Reservoir,,Point(69.0329 34.5552),http://www.wikidata.org/entity/Q889,Afghanistan,af
http://www.wikidata.org/entity/Q100893886,Spathara Reservoir,,Point(19.606944444 42.006944444),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q15062919,Fierza Reservoir,,Point(20.302 42.12),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q22007539,Ujembledhesi i Thanes,,Point(19.8425 40.859166666),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q22007568,Lake Ulza,,Point(19.91667 41.68333),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q22007584,Lake Vau i Dejës,,Point(19.62639 42.06472),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q22009524,Gorajt Reservoir,,Point(19.933333333 40.833333333),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q47422336,Lake Koman,,Point(19.816937 42.201269),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q895359,Bovilla reservoir,,Point(19.86666667 41.44527778),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q99192833,Tirana Artificial Lake,,Point(19.816111111 41.310277777),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q99519088,Lake Banja,,Point(20.083333333 40.956944444),http://www.wikidata.org/entity/Q222,Albania,al
http://www.wikidata.org/entity/Q23831931,Barrage Sidi Mohamed Benaouda,,Point(0.593055555 35.565833333),http://www.wikidata.org/entity/Q262,Algeria,dz
http://www.wikidata.org/entity/Q23837378,Barrage Sidi Abed,,Point(1.003333333 36.014166666),http://www.wikidata.org/entity/Q262,Algeria,dz
http://www.wikidata.org/entity/Q1150093,San Roque,,Point(-64.469444444 -31.378055555),http://www.wikidata.org/entity/Q414,Argentina,ar
http://www.wikidata.org/entity/Q21847786,Rio Hondo Reservoir,,Point(-64.97031 -27.54663),http://www.wikidata.org/entity/Q414,Argentina,ar
http://www.wikidata.org/entity/Q3215129,Pellegrini Lake,,Point(-68.0 -38.666666666),http://www.wikidata.org/entity/Q414,Argentina,ar
http://www.wikidata.org/entity/Q3435750,Garabí Dam,,Point(-55.61666667 -28.16666667),http://www.wikidata.org/entity/Q414,Argentina,ar
http://www.wikidata.org/entity/Q48816877,Amutui Quimey Reservoir,,Point(-71.7 -43.05),http://www.wikidata.org/entity/Q414,Argentina,ar
http://www.wikidata.org/entity/Q16368530,Angeghakot Reservoir,,Point(45.9375 39.55389),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q16398134,Berkaber Reservoir,,Point(45.141666666 41.058333333),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q16400522,Vardaqar Reservoire,,Point(43.911111111 40.659722222),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q16401174,Tolors reservoir,,Point(46.02503 39.48255),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q1965391,Aparan Reservoir,,Point(44.435277777 40.496944444),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q2395906,Yerevan Lake,,Point(44.4779 40.15982),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q2604625,Spandaryan Reservoir,,Point(45.82211 39.65636),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q4058198,Azat Reservoir,,Point(44.60904 40.06735),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q4073158,Aghbyurak Reservoir,,Point(44.749166666 40.506111111),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q4219902,Kechut Reservoir,,Point(45.656111111 39.798333333),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q4282318,Marmarik Reservoir,,Point(44.51194 40.64111),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q935385,Lake Arpi,,Point(43.63006 41.06719),http://www.wikidata.org/entity/Q399,Armenia,
http://www.wikidata.org/entity/Q1035747,Cardinia Reservoir,,Point(145.4102 -37.9637),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1121239,Companion Reservoir,,Point(145.71388889 -41.33638889),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1164222,Lake Eildon,,Point(145.931 -37.214),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1210845,Lake Burragorang,,Point(150.433333333 -34.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1236150,Wuruma Reservoir,,Point(150.988 -25.2014),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1255523,Lake Awoonga,,Point(151.308 -24.0753),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1332906,Lake Barrington,,Point(146.216944444 -41.366666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q137788,Lake Tuggeranong,,Point(149.066666666 -35.408333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1413161,Lake Jindabyne,,Point(148.633333333 -36.433333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1450886,Pipehead Reservoir,,Point(116.076944444 -31.944166666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q14644034,Lake Paradise,,Point(151.879166666 -25.358055555),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q14645981,Wingecarribee Reservoir,,Point(150.49620862 -34.55691036),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q14935034,Wattle Grove Lake,,Point(150.941 -33.9492),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q15110750,Fitzroy Falls Reservoir,,Point(150.49815862 -34.6419868),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1544811,Greenvale Reservoir,,Point(144.905 -37.6316),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1553457,Guide Reservoir,,Point(145.7617 -41.23502),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1573337,Lake Eucumbene,,Point(148.6 -36.116666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1609461,Lake Moondarra,,Point(139.57 -20.5826),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1642390,Lake Burley Griffin,,Point(149.113888888 -35.293333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1672003,Maroondah Reservoir,,Point(145.563055555 -37.634722222),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q17011248,Liverpool Offtake Reservoir,,Point(150.82679 -33.889869),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1780129,Lake Hume,,Point(147.031111111 -36.108333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1790845,Lake Rosebery,,Point(145.583 -41.7333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800856,Lake Ballingall,,Point(116.14119 -33.21271),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800872,Lake Boondooma,,Point(151.435 -26.0963),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800934,Lake Ginninderra,,Point(149.066666666 -35.233333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800982,Lake Leake,,Point(147.8 -42.0167),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800995,Lake Margaret,,Point(145.533 -42.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801016,Lake Murchison,,Point(145.69326 -41.83428),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801040,Lake Pieman,,Point(145.25 -41.783333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801083,Lake Somerset,,Point(152.557 -27.1144),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q18166831,Warren Reservoir,,Point(138.925 -34.7022),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q18344849,Lake Huntsman,,Point(146.607 -41.696),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1887729,Malpas Reservoir,,Point(151.73998839 -30.27524256),http://www.wikidata.org/entity/Q408,Australia,au
