college,collegeLabel,city,coordinate_location,country,countryLabel
http://www.wikidata.org/entity/Q432334,Alfredo Vásquez Cobo International Airport,,Point(-69.943055555 -4.193333333),http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q432474,Vijayawada Airport,,Point(80.796695 16.527528),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q432481,Semey Airport,,Point(80.234444444 50.351388888),http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q452290,Monroe Regional Airport,,Point(-92.037688888 32.510863888),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q459096,Dallas/Fort Worth International Airport,,Point(-97.038055555 32.896944444),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461793,Cairo International Airport,,Point(31.405555555 30.121944444),http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q465071,Warsaw Chopin Airport,,Point(20.967222222 52.165833333),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q466786,Newark Liberty International Airport,,Point(-74.1686 40.6925),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q466835,Washington Dulles International Airport,,Point(-77.455833 38.944444),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q474632,Cairns Airport,,Point(145.755277777 -16.885833333),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q474682,Land's End Airport,,Point(-5.670555555 50.102777777),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q477555,Cornwall Airport Newquay,,Point(-4.995277777 50.440833333),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q477677,Boryspil International Airport,,Point(30.893333333 50.344722222),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q478595,Tan Son Nhat International Airport,,Point(106.651944444 10.818888888),http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q478620,Aalborg Airport,,Point(9.849166666 57.092777777),http://www.wikidata.org/entity/Q35,Denmark
http://www.wikidata.org/entity/Q482315,Amílcar Cabral International Airport,,Point(-22.950016666 16.737588888),http://www.wikidata.org/entity/Q1011,Cape Verde
http://www.wikidata.org/entity/Q482493,Gimpo International Airport,,Point(126.7975 37.556944444),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q482497,Jeju International Airport,,Point(126.492777777 33.512222222),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q483223,Gimhae International Airport,,Point(128.938055555 35.180555555),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q483254,Daegu International Airport,,Point(128.658888888 35.894166666),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q483469,Yangyang International Airport,,Point(128.669166666 38.061388888),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q483675,Cheongju International Airport,,Point(127.499166666 36.716388888),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q484060,Muan International Airport,,Point(126.382813888 34.991405555),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q484718,Yeosu Airport,,Point(127.616666666 34.842327777),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q484722,Pohang Airport,,Point(129.420277777 35.987777777),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q484730,Ulsan Airport,,Point(129.351666666 35.593333333),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q485662,Gwangju Airport,,Point(126.808888888 35.126388888),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q488355,Sacheon Airport,,Point(128.070369444 35.088541666),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q488368,Wonsan Airport,,Point(127.483666666 39.162638888),http://www.wikidata.org/entity/Q423,North Korea
http://www.wikidata.org/entity/Q489736,Pullman-Moscow Regional Airport,,Point(-117.109 46.7439),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q491258,Gunsan Airport,,Point(126.615833333 35.903888888),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q491767,Pyongyang International Airport,,Point(125.67 39.223888888),http://www.wikidata.org/entity/Q423,North Korea
http://www.wikidata.org/entity/Q493759,Phoenix–Mesa Gateway Airport,,Point(-111.655555555 33.307777777),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q498954,Zhoushan Putuoshan Airport,,Point(122.362222222 29.934166666),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q500253,Kuala Lumpur International Airport,,Point(101.709722 2.745556),http://www.wikidata.org/entity/Q833,Malaysia
http://www.wikidata.org/entity/Q500945,Budapest Ferenc Liszt International Airport,,Point(19.261944444 47.439444444),http://www.wikidata.org/entity/Q28,Hungary
http://www.wikidata.org/entity/Q502670,Chennai International Airport,,Point(80.163611111 12.982222222),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q503364,Kempegowda International Airport,,Point(77.705555555 13.198888888),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q504368,Chhatrapati Shivaji Maharaj International Airport,,Point(72.868055555 19.088611111),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q504382,İzmir Adnan Menderes Airport,,Point(27.155 38.289166666),http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q505421,Riga International Airport,,Point(23.970833333 56.920833333),http://www.wikidata.org/entity/Q211,Latvia
http://www.wikidata.org/entity/Q505572,Coimbatore Airport,,Point(77.041888 11.030528),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q507771,Lampedusa Airport,,Point(12.618056 35.497778),http://www.wikidata.org/entity/Q38,Italy
