qid,Beach 1,coordinate_location,country,countryLabel,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q1001590,Neoi Poroi,Point(22.65930183 39.97501533),http://www.wikidata.org/entity/Q41,Greece,Greece,Point(23.0 38.5),Ελλάς,gr
http://www.wikidata.org/entity/Q100975183,Jacuacanga,Point(-44.239153 -23.003056),http://www.wikidata.org/entity/Q155,Brazil,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q101063353,Budny Beach,Point(-80.088907 42.172479),http://www.wikidata.org/entity/Q30,United States of America,United States of America,Point(-98.5795 39.828175),United States,us
http://www.wikidata.org/entity/Q101104216,Sinkos,Point(24.53487 70.80161),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101104232,Sáttobeaŋka,Point(24.26835 69.38419),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101105151,Orjješgáddi,Point(23.70206 69.46797),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101105502,Bumppat,Point(21.28619 70.16269),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101106549,Sáhkkobánčievra,Point(23.05111 69.9325),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101107551,Bállosáttu,Point(23.61629 69.38169),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101107552,Gámaalddas,Point(23.70838 69.46919),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101107595,Eielborg,Point(23.4098 70.28268),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101108014,Bánnalásses,Point(16.3014 67.89723),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101108637,Skjåneslandet,Point(26.97271 70.53661),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101109881,Reašši,Point(20.81362 69.49475),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101109971,Vuovddegiehtje,Point(16.22581 67.96222),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110038,Lasttaidgáddi,Point(24.59917 70.62034),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110288,Isokari,Point(29.91553 70.06239),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110534,Álddagárggu,Point(29.1166 70.01379),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110627,Jávrrášmuotkkegárggu,Point(25.69519 69.44322),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110630,Sundlandet,Point(23.94635 70.51491),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101110771,Áđgagáddi,Point(28.17669 70.20638),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111091,Maŋŋegeahče,Point(29.221 70.11596),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111297,Spálsgádde,Point(16.53827 68.12028),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111373,Mola,Point(19.67311 69.81586),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111550,Doaris,Point(23.34256 70.34403),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111714,Sáttu,Point(20.64077 69.51573),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101111720,Ránuidgáddi,Point(20.30211 69.76054),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112053,Ájogáddi,Point(25.62931 69.44738),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112070,Čievra,Point(23.53791 70.28432),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112162,Kallilahti,Point(30.32697 70.16363),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112303,Riddu,Point(24.65343 70.61615),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112500,Roađđu,Point(23.39127 70.24949),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101112503,Stállováhreašši,Point(19.97075 69.33866),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101113737,"Njirramaš, unna",Point(16.40678 67.83997),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101113800,Grasgropa,Point(20.30721 69.7702),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101113808,Áddjágárggu,Point(28.19908 70.14111),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101113830,Pikkukari,Point(29.90495 70.06104),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101113929,Slåppa,Point(22.36142 70.15471),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101114464,Ruikkatanranta,Point(20.26085 69.40836),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101114613,Buollángáddi,Point(20.09932 69.38384),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101114695,Juhkkingáddi,Point(25.69041 70.73779),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101114707,Gihtsegádde,Point(16.27348 67.9908),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101114873,Guhkesgáddi,Point(25.80912 69.66899),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101115124,Luovttareašši,Point(20.04165 69.33548),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101115164,Stráddugiehtje,Point(16.21998 67.88986),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101115245,Gilbbagárggu,Point(28.17197 70.23623),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101115247,Fanasgárggu,Point(28.06865 70.0776),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
http://www.wikidata.org/entity/Q101115267,Jiehkkegárgu,Point(20.29022 69.73209),http://www.wikidata.org/entity/Q20,Norway,Norway,Point(11.0 65.0),Norge,no
