college,collegeLabel,city,coordinate_location,country,countryLabel,field1,Sno,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q1000035,Port of Zhuhai,,Point(113.58333333 22.23333333),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q1003616,St Katharine Docks,,Point(-0.0713 51.507),http://www.wikidata.org/entity/Q145,United Kingdom,173,174,United Kingdom,Point(-2.0 54.6),United Kingdom,gb
http://www.wikidata.org/entity/Q1007242,Puerto Cumarebo,,Point(-69.350277777 11.486111111),http://www.wikidata.org/entity/Q717,Venezuela,178,179,Venezuela,Point(-67.0 8.0),Venezuela,ve
http://www.wikidata.org/entity/Q1013333,Puerto de Mogán,,Point(-15.76522 27.81658),http://www.wikidata.org/entity/Q29,Spain,204,,Spain,Point(-3.5 40.2),España,es
http://www.wikidata.org/entity/Q101668268,Port of Hasle,,Point(14.7029 55.1864),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q101669156,Christiansø Harbour,,Point(15.183333333 55.316666666),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q102021474,Port of Dipolog,,Point(123.328055555 8.559722222),http://www.wikidata.org/entity/Q928,Philippines,127,128,Philippines,Point(123.0 12.0),Mindanao,ph
http://www.wikidata.org/entity/Q102022122,Port of Dapitan,,Point(123.381944444 8.636111111),http://www.wikidata.org/entity/Q928,Philippines,127,128,Philippines,Point(123.0 12.0),Mindanao,ph
http://www.wikidata.org/entity/Q102177054,Port of Vilagarcía,,Point(-8.768370059 42.597893931),http://www.wikidata.org/entity/Q29,Spain,204,,Spain,Point(-3.5 40.2),España,es
http://www.wikidata.org/entity/Q1022127,Port Alberni,,Point(-124.805 49.2339),http://www.wikidata.org/entity/Q16,Canada,26,27,Canada,Point(-109.0 56.0),Canada,ca
http://www.wikidata.org/entity/Q1025642,Port of Mongla,,Point(89.583333333 22.483333333),http://www.wikidata.org/entity/Q902,Bangladesh,12,13,Bangladesh,Point(89.866667 24.016667),বাংলাদেশ,bd
http://www.wikidata.org/entity/Q102581304,Green Island Nanliao Harbor,,Point(121.474277777 22.659111111),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q10259753,Fugang Fishery Harbor,,Point(121.192 22.7917),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q1026433,Caldera,,Point(-84.716666666 9.943333333),http://www.wikidata.org/entity/Q800,Costa Rica,34,35,Costa Rica,Point(-84.0 10.0),Costa Rica,cr
http://www.wikidata.org/entity/Q10351839,Porto Pim,,Point(-28.62827 38.5246),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351869,Port of Beira,,Point(34.833333333 -19.833333333),http://www.wikidata.org/entity/Q1029,Mozambique,106,107,Mozambique,Point(35.0 -19.0),Moçambique,mz
http://www.wikidata.org/entity/Q10351905,Angra dos Reis Port,,Point(-44.31653889 -23.01169722),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351906,Port of Antonina,,Point(-48.692888888 -25.443388888),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351917,Port of Guaíba,,Point(-44.034055555 -23.006583333),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351918,Port of Ilhéus,,Point(-39.025972222 -14.780805555),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351921,Port of Itapoá,,Point(-48.60325 -26.183472222),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351922,Port of Itajaí,,Point(-48.633333333 -26.916666666),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351923,Port of Maceió,,Point(-35.733333333 -9.666666666),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351924,"Porto de Lagos, Portugal",,Point(-8.67232222 37.10738889),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351927,Port of Luís Correia,,Point(-41.650027777 -2.871222222),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351929,Port of Navegantes,,Point(-48.662138888 -26.896138888),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351931,Port of Paranaguá,,Point(-48.51082222 -25.50469167),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351934,Port of Angra do Heroísmo,,Point(-27.214583333 38.651611111),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351938,Port of Rio Grande,,Point(-52.1 -32.1),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351947,Port of São Francisco do Sul,,Point(-48.6365 -26.237138888),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351950,Port of São Sebastião,,Point(-45.39751389 -23.81115278),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351951,Port of Tampico,,Point(-97.788061111 22.271938888),http://www.wikidata.org/entity/Q96,Mexico,102,103,Mexico,Point(-102.0 23.0),México,mx
http://www.wikidata.org/entity/Q10351952,Port of Tuxpan,,Point(-97.372778 -20.940556),http://www.wikidata.org/entity/Q96,Mexico,102,103,Mexico,Point(-102.0 23.0),México,mx
http://www.wikidata.org/entity/Q10351953,Port of Trelleborg,,Point(13.15 55.37),http://www.wikidata.org/entity/Q34,Sweden,155,156,Sweden,Point(15.0 61.0),Sverige,se
http://www.wikidata.org/entity/Q10351956,Port of Velas,,Point(-28.20275 38.677888888),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351957,Varberg Port,,Point(12.24409167 57.11331667),http://www.wikidata.org/entity/Q34,Sweden,155,156,Sweden,Point(15.0 61.0),Sverige,se
http://www.wikidata.org/entity/Q10351959,Port of Vila Velha,,Point(-40.307111111 -20.327444444),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351961,Port of Vila do Topo,,Point(-27.760067 38.542234),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351962,Port of Vitória,,Point(-40.337444444 -20.322388888),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351964,Port of São Tomé,,Point(6.7375 0.3472),http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,135,136,São Tomé and Príncipe,Point(6.6 0.316667),São Tomé e Príncipe,st
http://www.wikidata.org/entity/Q10351969,Port of Caniçal,,Point(-16.732222222 32.734444444),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351971,Porto do Forno,,Point(-42.016055555 -22.970694444),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10351973,Port of Funchal,,Point(-16.909444444 32.641944444),http://www.wikidata.org/entity/Q45,Portugal,129,130,Portugal,Point(-9.183333333 38.7),Portugal,pt
http://www.wikidata.org/entity/Q10351978,Porto do Mucuripe,,Point(-38.47333333 -3.71),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10375074,Porto of Açu,,Point(-41.0199 -21.8209),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q103798972,Balsa,,Point(-60.087386111 -3.139025),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10412681,Wanggong Fishing Port,,Point(120.324 23.9692),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q104198105,port of Beg Douar,,Point(-3.61493 48.68366),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q104347963,port of Locquirec,,Point(-3.6474 48.68989),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q104601096,Magong second fishing harbor,,Point(119.570646 23.565184),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q104601229,Magong Fishing Harbor,,Point(119.571744 23.563537),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
