country,countryLabel,coordinate_location
http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q20,Norway,Point(11.0 65.0)
http://www.wikidata.org/entity/Q25,Wales,Point(-3.633333333 52.35)
http://www.wikidata.org/entity/Q27,Ireland,Point(-8.0 53.0)
http://www.wikidata.org/entity/Q28,Hungary,Point(19.0 47.0)
http://www.wikidata.org/entity/Q30,United States of America,Point(-98.5795 39.828175)
http://www.wikidata.org/entity/Q33,Finland,Point(27.0 65.0)
http://www.wikidata.org/entity/Q34,Sweden,Point(15.0 61.0)
http://www.wikidata.org/entity/Q35,Denmark,Point(10.0 56.0)
http://www.wikidata.org/entity/Q36,Poland,Point(19.0 52.0)
http://www.wikidata.org/entity/Q38,Italy,Point(12.5 42.5)
http://www.wikidata.org/entity/Q39,Switzerland,Point(8.231973 46.798562)
http://www.wikidata.org/entity/Q40,Austria,Point(14.0 48.0)
http://www.wikidata.org/entity/Q41,Greece,Point(23.0 38.5)
http://www.wikidata.org/entity/Q43,Turkey,Point(36.0 39.0)
http://www.wikidata.org/entity/Q45,Portugal,Point(-9.183333333 38.7)
http://www.wikidata.org/entity/Q55,Netherlands,Point(5.55 52.316666666)
http://www.wikidata.org/entity/Q77,Uruguay,Point(-56.65 -32.733333333)
http://www.wikidata.org/entity/Q79,Egypt,Point(29.0 27.0)
http://www.wikidata.org/entity/Q96,Mexico,Point(-102.0 23.0)
http://www.wikidata.org/entity/Q114,Kenya,Point(38.0 0.1)
http://www.wikidata.org/entity/Q115,Ethiopia,Point(40.0 9.0)
http://www.wikidata.org/entity/Q117,Ghana,Point(-0.5 8.0)
http://www.wikidata.org/entity/Q142,France,Point(2.0 47.0)
http://www.wikidata.org/entity/Q145,United Kingdom,Point(-2.0 54.6)
http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.451944444 35.844722222)
http://www.wikidata.org/entity/Q155,Brazil,Point(-53.0 -14.0)
http://www.wikidata.org/entity/Q183,Germany,Point(10.0 51.0)
http://www.wikidata.org/entity/Q184,Belarus,Point(28.046666666 53.528333333)
http://www.wikidata.org/entity/Q211,Latvia,Point(25.0 57.0)
http://www.wikidata.org/entity/Q213,Czech Republic,Point(16.0 50.0)
http://www.wikidata.org/entity/Q214,Slovakia,Point(20.0 49.0)
http://www.wikidata.org/entity/Q218,Romania,Point(25.0 46.0)
http://www.wikidata.org/entity/Q219,Bulgaria,Point(25.5 42.75)
http://www.wikidata.org/entity/Q222,Albania,Point(20.0 41.0)
http://www.wikidata.org/entity/Q224,Croatia,Point(15.466667 45.25)
http://www.wikidata.org/entity/Q228,Andorra,Point(1.555277777 42.558333333)
http://www.wikidata.org/entity/Q229,Cyprus,Point(33.0 35.0)
http://www.wikidata.org/entity/Q232,Kazakhstan,Point(68.0 48.0)
http://www.wikidata.org/entity/Q233,Malta,Point(14.5 35.883333333)
http://www.wikidata.org/entity/Q236,Montenegro,Point(19.216667 42.766667)
http://www.wikidata.org/entity/Q241,Cuba,Point(-79.5 22.0)
http://www.wikidata.org/entity/Q244,Barbados,Point(-59.5525 13.17)
http://www.wikidata.org/entity/Q252,Indonesia,Point(118.0 -2.0)
http://www.wikidata.org/entity/Q258,South Africa,Point(24.0 -29.0)
http://www.wikidata.org/entity/Q262,Algeria,Point(1.0 28.0)
http://www.wikidata.org/entity/Q265,Uzbekistan,Point(66.0 41.0)
http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0)
http://www.wikidata.org/entity/Q334,Singapore,Point(103.8 1.3)
http://www.wikidata.org/entity/Q347,Liechtenstein,Point(9.553889 47.145)
http://www.wikidata.org/entity/Q398,Bahrain,Point(50.551111 26.0675)
http://www.wikidata.org/entity/Q408,Australia,Point(137.0 -28.0)
http://www.wikidata.org/entity/Q414,Argentina,Point(-64.0 -34.0)
http://www.wikidata.org/entity/Q419,Peru,Point(-76.0 -9.4)
http://www.wikidata.org/entity/Q423,North Korea,Point(127.0 40.0)
http://www.wikidata.org/entity/Q424,Cambodia,Point(105.0 12.6)
http://www.wikidata.org/entity/Q574,East Timor,Point(125.75 -8.966667)
http://www.wikidata.org/entity/Q657,Chad,Point(19.4 15.466667)
http://www.wikidata.org/entity/Q664,New Zealand,Point(174.0 -41.2)
http://www.wikidata.org/entity/Q668,India,Point(83.0 22.8)
http://www.wikidata.org/entity/Q672,Tuvalu,Point(178.005556 -7.475)
http://www.wikidata.org/entity/Q683,Samoa,Point(-172.0 -14.0)
http://www.wikidata.org/entity/Q685,Solomon Islands,Point(159.816666666 -9.466666666)
http://www.wikidata.org/entity/Q686,Vanuatu,Point(168.016669444 -16.633330555)
http://www.wikidata.org/entity/Q691,Papua New Guinea,Point(147.0 -6.3)
http://www.wikidata.org/entity/Q695,Palau,Point(134.55 7.466667)
http://www.wikidata.org/entity/Q697,Nauru,Point(166.933333333 -0.533333333)
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,Point(158.183333333 6.916666666)
http://www.wikidata.org/entity/Q709,Marshall Islands,Point(171.066666666 7.116666666)
http://www.wikidata.org/entity/Q710,Kiribati,Point(173.033333333 1.466666666)
http://www.wikidata.org/entity/Q711,Mongolia,Point(104.0 47.0)
